model_key,method,preference_id,p_a_when_first,p_a_when_second,position_effect,content_effect,n
qwen25-7b,pairwise,p02,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p03,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p04,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p05,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p06,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p07,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p08,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p09,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p10,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p11,1.0,0.0,1.0,0.0,10
qwen25-7b,pairwise,p12,1.0,0.0,1.0,0.0,10
qwen25-7b,self_report,p01,0.8,0.0,0.8,-0.09999999999999998,10
qwen25-7b,self_report,p02,0.0,0.0,0.0,-0.5,10
qwen25-7b,self_report,p03,1.0,0.0,1.0,0.0,10
qwen25-7b,self_report,p04,1.0,0.0,1.0,0.0,10
qwen25-7b,self_report,p05,0.0,0.0,0.0,-0.5,10
qwen25-7b,self_report,p06,1.0,0.0,1.0,0.0,10
qwen25-7b,self_report,p07,0.25,0.0,0.25,-0.375,10
qwen25-7b,self_report,p08,1.0,0.0,1.0,0.0,10
qwen25-7b,self_report,p09,1.0,0.0,1.0,0.0,10
qwen25-7b,self_report,p10,1.0,0.0,1.0,0.0,10
qwen25-7b,self_report,p11,0.2,0.0,0.2,-0.4,10
qwen25-7b,self_report,p12,1.0,0.0,1.0,0.0,10
qwen25-7b,sequential,p01,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p02,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p03,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p04,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p05,0.6666666666666666,0.0,0.6666666666666666,-0.16666666666666669,5
qwen25-7b,sequential,p06,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p07,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p08,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p09,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p10,1.0,0.0,1.0,0.0,5
qwen25-7b,sequential,p11,1.0,0.0,1.0,0.0,5
