model_key,preference_id,framing_variant,method,score,n_used,sd,detail
llama31-8b,p03,action,self_report,-0.185,10,0.7764055355003309,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7764055355003309}"
llama31-8b,p03,neutral,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p03,neutral,self_report,-0.187,10,0.75271434747113,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.75271434747113}"
llama31-8b,p03,neutral,tradeoff,-0.18518518518518523,27,,"{""indifference_cost"": -5.0, ""monotonicity"": -0.14852213144650114, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 0.3333333333333333, ""-2"": 0.3333333333333333, ""-1"": 0.3333333333333333, ""0"": 0.0, ""1"": 0.3333333333333333, ""2"": 0.3333333333333333, ""4"": 0.6666666666666666, ""8"": 0.3333333333333333}, ""n_levels"": 9}"
llama31-8b,p03,preference,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p03,preference,self_report,-0.6300000000000001,10,0.43728963196286985,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.43728963196286985}"
llama31-8b,p04,action,pairwise,0.3999999999999999,10,0.28982753492378877,"{""p_a"": 0.7, ""n_used"": 10, ""sd"": 0.28982753492378877}"
llama31-8b,p04,action,self_report,0.008100000000000029,10,0.8456887331242704,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.8456887331242704}"
llama31-8b,p04,neutral,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
llama31-8b,p04,neutral,self_report,-0.162,10,0.7214922807009866,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7214922807009866}"
llama31-8b,p04,neutral,tradeoff,0.33333333333333326,27,,"{""indifference_cost"": 3.0, ""monotonicity"": -0.3812632098959009, ""n_used"": 27, ""curve"": {""-8"": 0.6666666666666666, ""-4"": 0.6666666666666666, ""-2"": 0.6666666666666666, ""-1"": 1.0, ""0"": 1.0, ""1"": 1.0, ""2"": 0.6666666666666666, ""4"": 0.3333333333333333, ""8"": 0.0}, ""n_levels"": 9}"
llama31-8b,p04,preference,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p04,preference,self_report,0.04199999999999997,10,0.8321164448427742,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.8321164448427742}"
llama31-8b,p05,action,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p05,action,self_report,-0.025000000000000012,10,0.8570783705900724,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.8570783705900724}"
llama31-8b,p05,neutral,pairwise,-0.8,10,0.18973665961010278,"{""p_a"": 0.1, ""n_used"": 10, ""sd"": 0.18973665961010278}"
llama31-8b,p05,neutral,self_report,0.275,10,0.7402139330400818,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7402139330400818}"
llama31-8b,p05,neutral,tradeoff,-0.33333333333333337,27,,"{""indifference_cost"": -0.5000000000000001, ""monotonicity"": -0.9128709291752769, ""n_used"": 27, ""curve"": {""-8"": 0.6666666666666666, ""-4"": 0.6666666666666666, ""-2"": 0.6666666666666666, ""-1"": 0.6666666666666666, ""0"": 0.3333333333333333, ""1"": 0.0, ""2"": 0.0, ""4"": 0.0, ""8"": 0.0}, ""n_levels"": 9}"
llama31-8b,p05,preference,pairwise,-0.4,10,0.28982753492378877,"{""p_a"": 0.3, ""n_used"": 10, ""sd"": 0.28982753492378877}"
llama31-8b,p05,preference,self_report,,10,,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": NaN}"
llama31-8b,p06,action,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p06,action,self_report,-0.24,10,0.7876829593462362,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7876829593462362}"
llama31-8b,p06,neutral,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
llama31-8b,p06,neutral,self_report,-0.06000000000000001,10,0.8500980335624042,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.8500980335624042}"
llama31-8b,p06,neutral,tradeoff,-0.5555555555555556,27,,"{""indifference_cost"": -5.0, ""monotonicity"": -0.13693063937629152, ""n_used"": 27, ""curve"": {""-8"": 0.0, ""-4"": 0.6666666666666666, ""-2"": 0.3333333333333333, ""-1"": 0.0, ""0"": 0.3333333333333333, ""1"": 0.0, ""2"": 0.3333333333333333, ""4"": 0.3333333333333333, ""8"": 0.0}, ""n_levels"": 9}"
llama31-8b,p06,preference,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p06,preference,self_report,-0.3550000000000001,10,0.7910787290501216,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7910787290501216}"
llama31-8b,p07,action,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p07,action,self_report,-0.175,10,0.7692889935229514,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7692889935229514}"
llama31-8b,p07,neutral,pairwise,-0.6,10,0.2529822128134704,"{""p_a"": 0.2, ""n_used"": 10, ""sd"": 0.2529822128134704}"
llama31-8b,p07,neutral,self_report,-0.031000000000000028,10,0.8442412767291904,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.8442412767291904}"
llama31-8b,p07,neutral,tradeoff,-0.5555555555555556,27,,"{""indifference_cost"": -2.5, ""monotonicity"": -0.31037611591959413, ""n_used"": 27, ""curve"": {""-8"": 0.3333333333333333, ""-4"": 0.0, ""-2"": 0.6666666666666666, ""-1"": 0.0, ""0"": 0.3333333333333333, ""1"": 0.3333333333333333, ""2"": 0.3333333333333333, ""4"": 0.0, ""8"": 0.0}, ""n_levels"": 9}"
llama31-8b,p07,preference,pairwise,-0.6,10,0.2529822128134704,"{""p_a"": 0.2, ""n_used"": 10, ""sd"": 0.2529822128134704}"
llama31-8b,p07,preference,self_report,0.016000000000000004,10,0.7868389641823513,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7868389641823513}"
llama31-8b,p08,action,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p08,action,self_report,-0.14,10,0.75306779981029,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.75306779981029}"
llama31-8b,p08,neutral,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p08,neutral,self_report,0.10000000000000002,10,0.7505553499465135,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7505553499465135}"
llama31-8b,p08,neutral,tradeoff,0.03703703703703698,27,,"{""indifference_cost"": -3.0, ""monotonicity"": -0.6675919504799912, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 0.6666666666666666, ""-2"": 0.3333333333333333, ""-1"": 1.0, ""0"": 0.3333333333333333, ""1"": 0.3333333333333333, ""2"": 0.6666666666666666, ""4"": 0.3333333333333333, ""8"": 0.0}, ""n_levels"": 9}"
llama31-8b,p08,preference,pairwise,0.6000000000000001,10,0.25298221281347033,"{""p_a"": 0.8, ""n_used"": 10, ""sd"": 0.25298221281347033}"
llama31-8b,p08,preference,self_report,0.6,10,0.5005552472560402,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5005552472560402}"
llama31-8b,p09,action,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
llama31-8b,p09,action,self_report,-0.02300000000000001,10,0.8415996673003145,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.8415996673003145}"
llama31-8b,p09,neutral,pairwise,0.3999999999999999,10,0.28982753492378877,"{""p_a"": 0.7, ""n_used"": 10, ""sd"": 0.28982753492378877}"
llama31-8b,p09,neutral,self_report,0.09,10,0.7593125545883957,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7593125545883957}"
llama31-8b,p09,neutral,tradeoff,0.5555555555555556,27,,"{""indifference_cost"": 1.5, ""monotonicity"": -0.09128709291752768, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 1.0, ""-2"": 0.6666666666666666, ""-1"": 0.6666666666666666, ""0"": 0.6666666666666666, ""1"": 0.6666666666666666, ""2"": 0.3333333333333333, ""4"": 1.0, ""8"": 1.0}, ""n_levels"": 9}"
llama31-8b,p09,preference,pairwise,0.6000000000000001,10,0.25298221281347033,"{""p_a"": 0.8, ""n_used"": 10, ""sd"": 0.25298221281347033}"
llama31-8b,p09,preference,self_report,-0.16499999999999998,10,0.8120789507321453,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.8120789507321453}"
llama31-8b,p10,action,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p10,action,self_report,0.023,10,0.7688093247208815,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7688093247208815}"
llama31-8b,p10,neutral,pairwise,0.6000000000000001,10,0.25298221281347033,"{""p_a"": 0.8, ""n_used"": 10, ""sd"": 0.25298221281347033}"
llama31-8b,p10,neutral,self_report,-0.15,10,0.696419413859206,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.696419413859206}"
llama31-8b,p10,neutral,tradeoff,0.18518518518518512,27,,"{""indifference_cost"": 1.5, ""monotonicity"": -0.7115124735378854, ""n_used"": 27, ""curve"": {""-8"": 0.6666666666666666, ""-4"": 1.0, ""-2"": 0.6666666666666666, ""-1"": 0.6666666666666666, ""0"": 1.0, ""1"": 0.6666666666666666, ""2"": 0.3333333333333333, ""4"": 0.0, ""8"": 0.3333333333333333}, ""n_levels"": 9}"
llama31-8b,p10,preference,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p10,preference,self_report,0.15499999999999997,10,0.6576262025058174,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.6576262025058174}"
llama31-8b,p11,action,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p11,action,self_report,-0.13499999999999998,10,0.7738970646453356,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7738970646453356}"
llama31-8b,p11,neutral,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
llama31-8b,p11,neutral,self_report,-0.27999999999999997,10,0.7016646872497811,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7016646872497811}"
llama31-8b,p11,neutral,tradeoff,-0.18518518518518523,27,,"{""indifference_cost"": -6.0, ""monotonicity"": 0.05940885257860046, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 0.0, ""-2"": 0.3333333333333333, ""-1"": 0.3333333333333333, ""0"": 0.3333333333333333, ""1"": 0.3333333333333333, ""2"": 0.3333333333333333, ""4"": 0.6666666666666666, ""8"": 0.3333333333333333}, ""n_levels"": 9}"
llama31-8b,p11,preference,pairwise,-0.4,10,0.28982753492378877,"{""p_a"": 0.3, ""n_used"": 10, ""sd"": 0.28982753492378877}"
llama31-8b,p11,preference,self_report,0.040000000000000015,10,0.7745249440068983,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7745249440068983}"
llama31-8b,p12,action,pairwise,-0.4,10,0.28982753492378877,"{""p_a"": 0.3, ""n_used"": 10, ""sd"": 0.28982753492378877}"
llama31-8b,p12,action,self_report,0.19,10,0.6471304179049057,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.6471304179049057}"
llama31-8b,p12,neutral,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
llama31-8b,p12,neutral,self_report,-0.1125,10,0.7589512134811067,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7589512134811067}"
llama31-8b,p12,neutral,tradeoff,0.03703703703703698,27,,"{""indifference_cost"": -2.5, ""monotonicity"": -0.7711482799498872, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 1.0, ""-2"": 0.3333333333333333, ""-1"": 1.0, ""0"": 0.6666666666666666, ""1"": 0.3333333333333333, ""2"": 0.0, ""4"": 0.0, ""8"": 0.3333333333333333}, ""n_levels"": 9}"
llama31-8b,p12,preference,pairwise,-0.8,10,0.18973665961010278,"{""p_a"": 0.1, ""n_used"": 10, ""sd"": 0.18973665961010278}"
llama31-8b,p12,preference,self_report,0.12500000000000003,10,0.7254309064273454,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.7254309064273454}"
qwen25-7b,c01,action,pairwise,1.0,10,0.0,"{""p_a"": 1.0, ""n_used"": 10, ""sd"": 0.0}"
qwen25-7b,c01,action,self_report,0.93,10,0.11595018087284056,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.11595018087284056}"
qwen25-7b,c01,neutral,pairwise,1.0,10,0.0,"{""p_a"": 1.0, ""n_used"": 10, ""sd"": 0.0}"
qwen25-7b,c01,neutral,self_report,0.9600000000000002,10,0.08432740427115676,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.08432740427115676}"
qwen25-7b,c01,neutral,tradeoff,0.7777777777777777,27,,"{""indifference_cost"": 8.0, ""monotonicity"": -0.7302967433402214, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 1.0, ""-2"": 1.0, ""-1"": 1.0, ""0"": 1.0, ""1"": 0.6666666666666666, ""2"": 1.0, ""4"": 0.6666666666666666, ""8"": 0.6666666666666666}, ""n_levels"": 9}"
qwen25-7b,c01,preference,pairwise,1.0,10,0.0,"{""p_a"": 1.0, ""n_used"": 10, ""sd"": 0.0}"
qwen25-7b,c01,preference,self_report,0.9000000000000001,10,0.10540925533894596,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.10540925533894596}"
qwen25-7b,c02,action,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
qwen25-7b,c02,action,self_report,0.6,10,0.5868938953886337,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5868938953886337}"
qwen25-7b,c02,neutral,pairwise,0.6000000000000001,10,0.25298221281347033,"{""p_a"": 0.8, ""n_used"": 10, ""sd"": 0.25298221281347033}"
qwen25-7b,c02,neutral,self_report,0.8400000000000001,10,0.08432740427115676,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.08432740427115676}"
qwen25-7b,c02,neutral,tradeoff,0.5555555555555554,27,,"{""indifference_cost"": 0.7499999999999999, ""monotonicity"": -0.5717261130115711, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 1.0, ""-2"": 1.0, ""-1"": 0.6666666666666666, ""0"": 1.0, ""1"": 0.3333333333333333, ""2"": 0.6666666666666666, ""4"": 1.0, ""8"": 0.3333333333333333}, ""n_levels"": 9}"
qwen25-7b,c02,preference,pairwise,1.0,10,0.0,"{""p_a"": 1.0, ""n_used"": 10, ""sd"": 0.0}"
qwen25-7b,c02,preference,self_report,0.8400000000000001,10,0.08432740427115676,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.08432740427115676}"
qwen25-7b,p01,action,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
qwen25-7b,p01,action,self_report,-0.1,10,0.5163977794943222,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5163977794943222}"
qwen25-7b,p01,neutral,pairwise,-0.4,10,0.28982753492378877,"{""p_a"": 0.3, ""n_used"": 10, ""sd"": 0.28982753492378877}"
qwen25-7b,p01,neutral,self_report,-0.08,10,0.5028805910838963,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5028805910838963}"
qwen25-7b,p01,neutral,tradeoff,0.2592592592592591,27,,"{""indifference_cost"": -6.0, ""monotonicity"": 0.32071349029490925, ""n_used"": 27, ""curve"": {""-8"": 0.6666666666666666, ""-4"": 0.3333333333333333, ""-2"": 0.6666666666666666, ""-1"": 0.6666666666666666, ""0"": 0.3333333333333333, ""1"": 0.6666666666666666, ""2"": 1.0, ""4"": 0.3333333333333333, ""8"": 1.0}, ""n_levels"": 9}"
qwen25-7b,p01,preference,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
qwen25-7b,p01,preference,self_report,0.2,10,0.48304589153964794,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.48304589153964794}"
qwen25-7b,p02,action,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
qwen25-7b,p02,action,self_report,-0.1,10,0.5163977794943223,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5163977794943223}"
qwen25-7b,p02,neutral,pairwise,0.3999999999999999,10,0.28982753492378877,"{""p_a"": 0.7, ""n_used"": 10, ""sd"": 0.28982753492378877}"
qwen25-7b,p02,neutral,self_report,-0.7,10,0.11547005383792518,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.11547005383792518}"
qwen25-7b,p02,neutral,tradeoff,-0.2592592592592592,27,,"{""indifference_cost"": -6.0, ""monotonicity"": -0.41079191812887456, ""n_used"": 27, ""curve"": {""-8"": 0.3333333333333333, ""-4"": 0.6666666666666666, ""-2"": 0.3333333333333333, ""-1"": 0.3333333333333333, ""0"": 0.3333333333333333, ""1"": 0.3333333333333333, ""2"": 0.3333333333333333, ""4"": 0.3333333333333333, ""8"": 0.3333333333333333}, ""n_levels"": 9}"
qwen25-7b,p02,preference,pairwise,0.3999999999999999,10,0.28982753492378877,"{""p_a"": 0.7, ""n_used"": 10, ""sd"": 0.28982753492378877}"
qwen25-7b,p02,preference,self_report,-0.65,10,0.4143267631552017,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.4143267631552017}"
qwen25-7b,p03,action,pairwise,-0.4,10,0.28982753492378877,"{""p_a"": 0.3, ""n_used"": 10, ""sd"": 0.28982753492378877}"
qwen25-7b,p03,action,self_report,-0.030000000000000006,10,0.5618422079789543,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5618422079789543}"
qwen25-7b,p03,neutral,pairwise,-0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.4, ""n_used"": 10, ""sd"": 0.30983866769659335}"
qwen25-7b,p03,neutral,self_report,-0.11000000000000001,10,0.5258854966202772,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5258854966202772}"
qwen25-7b,p03,neutral,tradeoff,0.03703703703703698,27,,"{""indifference_cost"": -6.0, ""monotonicity"": -0.13299879414973287, ""n_used"": 27, ""curve"": {""-8"": 1.0, ""-4"": 0.0, ""-2"": 0.6666666666666666, ""-1"": 0.6666666666666666, ""0"": 0.3333333333333333, ""1"": 0.3333333333333333, ""2"": 0.6666666666666666, ""4"": 0.3333333333333333, ""8"": 0.6666666666666666}, ""n_levels"": 9}"
qwen25-7b,p03,preference,pairwise,0.19999999999999996,10,0.30983866769659335,"{""p_a"": 0.6, ""n_used"": 10, ""sd"": 0.30983866769659335}"
qwen25-7b,p03,preference,self_report,-0.030000000000000006,10,0.5657836257007719,"{""n_used"": 10, ""n_strength_imputed"": 0, ""sd"": 0.5657836257007719}"
qwen25-7b,p04,action,pairwise,0.0,10,0.31622776601683794,"{""p_a"": 0.5, ""n_used"": 10, ""sd"": 0.31622776601683794}"
